job_post_url,Company_Name,Address,City,State,Zip_Code,Phone,Fax,Contact_Person,Contact_Title,Legal_Structure,Year_Established,Business_Type,Certification_Type,Sales_Service_Area,Ownership
https://www.hawaiibids.us/hawaii-contractors/contractor-5089818-NILASONI-LANDSCAPE-INC.htm,"NILASONI LANDSCAPE, INC.",1336 Hooli Cir,Pearl City,Hawaii,96782-1927,808-456-5046,808-455-5696,LEONA A. ALATINI,President,Subchapter S Corporation,1990,"Construction (20 %),  Service (80 %)","8(a), Small Disadvantaged Business, ",,"Asian Pacific American,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5066380-INTERNATIONAL-ROOFIN.htm,"INTERNATIONAL ROOFING & BUILDING CONSTRUCTION, INC.",96-1217 Waihona St,Pearl City,Hawaii,96782-1969,808-456-2880,808-456-8861,FRANCIS T ROBINIOL,President,Corporation,1992,Construction (100 %),"8(a), Small Disadvantaged Business, ",,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business"
https://www.hawaiibids.us/hawaii-contractors/contractor-5059448-REILEY-RORY.htm,"REILEY, RORY",58-282a Kamehameha Hwy,Haleiwa,Hawaii,96712-0961,808-780-1461,,RORY S. REILEY,,Sole Proprietorship,2004,Service (100 %),,,"Service-Disabled Veteran,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5051026-UYEHARA-BRYCE-AIA-INC.htm,"UYEHARA, BRYCE, AIA, INC",2639 S King St Ste 203,Honolulu,Hawaii,96826-3269,808-947-9704,808-947-9603,BRYCE UYEHARA,PRESIDENT,Subchapter S Corporation,1990,Service (100 %),"8(a), Small Disadvantaged Business, ",,"Asian Pacific American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5197044-KAHALA-CABINET-COMPAN.htm,KAHALA CABINET COMPANY L.L.C.,819 Moowaa St #203,Honolulu,Hawaii,96817-4433,808-841-1550,808-841-1544,LARRY MCCARTHY,,LLC,2007,"Manufacturing (90 %),  Service (10 %)",,Canada,Self-Certified Small Disadvantaged Business
https://www.hawaiibids.us/hawaii-contractors/contractor-6047070-BELAU-ELECTRIC-LLC.htm,BELAU ELECTRIC LLC,91-1240 Kuanoo St.,Ewa Beach,Hawaii,96706-0000,808-216-2213,808-216-2213,WALLACE BEATY,,LLC,2011,"Construction (90 %),  Service (10 %)",,,"Asian Pacific American,  Other Minority Owned,  Women-Owned Small Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5242123-JC-SPENCER-REMANUFACTURING.htm,JC SPENCER REMANUFACTURING,1938 Haleukana St Ste 97,Lihue,Hawaii,96766-8972,808-651-6253,,SPENCER SCAMEN,,Partnership,2007,"Manufacturing (50 %),  Research and Development (20 %),  Service (30 %)",,,"Asian Pacific American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5238076-CENTRAL-PACIFIC-COMPUTE.htm,CENTRAL PACIFIC COMPUTER SERVICES,320 N Judd St,Honolulu,Hawaii,96817-1748,808-723-5599,,HARLAN KANOA N SHEPPARD,,Sole Proprietorship,2007,Service (100 %),,United Kingdom,Other Minority Owned
https://www.hawaiibids.us/hawaii-contractors/contractor-5040700-BIGGER-BIRD-CREATIV.htm,"BIGGER BIRD CREATIVE, INC.",1670 Makaloa St Ste 204,Honolulu,Hawaii,96814-3232,808-377-4780,808-356-0576,AARON NAMBA,,Corporation,2005,"Research and Development (10 %),  Service (90 %)",,,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business"
https://www.hawaiibids.us/hawaii-contractors/contractor-5147380-HAWAII-VIRTUAL-OFFIC.htm,HAWAII VIRTUAL OFFICE SERVICES,98-437 Kaonohi Street #2,Aiea,Hawaii,96701-2375,808-341-0432,808-488-6798,STEVEN BEAR,,Sole Proprietorship,2007,Service (100 %),,,Veteran
https://www.hawaiibids.us/hawaii-contractors/contractor-5161544-RARE-DEAR-INC.htm,"RARE & DEAR, INC",4811 Kikala Rd,Kalaheo,Hawaii,96741-9213,808-332-6633 x20,808-332-5831,SUSAN STAYTON,President,Subchapter S Corporation,1996,Service (100 %),"HUBZone Certification, ",,
https://www.hawaiibids.us/hawaii-contractors/contractor-5008018-ISDI-TECHNOLOGIES-INC.htm,ISDI TECHNOLOGIES INC,1600 Kapiolani Blvd # 1100,Honolulu,Hawaii,96814-3801,808-944-8742 x511,808-949-5957,JOHN AGSALUD,Executive Assistant,Corporation,1989,Service (100 %),,,Asian Pacific American
https://www.hawaiibids.us/hawaii-contractors/contractor-6040386-OPIS-LLC.htm,"OPIS, LLC",2691 Onu Place,Kalaheo,Hawaii,96741-9229,808-635-4589,206-452-0706,BENJAMIN ELDRIDGE,,LLC,2011,Service (100 %),,,"Self-Certified Small Disadvantaged Business,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5901711-ENVIRONMENT-NEWS-SERVICE.htm,ENVIRONMENT NEWS SERVICE,350 Ward Ave Ste 160-165,Honolulu,Hawaii,96814-4004,808-394-1421,808-356-0301,SUNNY LEWIS,,Partnership,1990,,,,Woman Owned
https://www.hawaiibids.us/hawaii-contractors/contractor-5837358-QPM-INC.htm,"QPM, INC.",1009 Puuwai St,Honolulu,Hawaii,96819-4331,808-848-1569,808-847-8413,SEANN YARDLEY,President,Corporation,2004,,,,Woman Owned
https://www.hawaiibids.us/hawaii-contractors/contractor-5948042-HINOKAWA-ELECTRIC-LLC.htm,"HINOKAWA ELECTRIC, LLC",55-768 Hawi Rd,Hawi,Hawaii,96719-0280,808-889-5613,808-889-5583,RODERICK HINOKAWA,OWNER,LLC,2004,,,,"Asian Pacific American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5883248-E-M-RIVERA-AND-SONS-INC.htm,"E. M. RIVERA AND SONS, INC.",73-4354 Mamalahoa Hwy Ste 204,Kailua Kona,Hawaii,96740-8649,808-325-5057,808-325-3279,HIRAM RIVERA,,Corporation,1979,,"HUBZone Certification, ",,Other Minority Owned
https://www.hawaiibids.us/hawaii-contractors/contractor-5864192-Wolf-David-J.htm,"Wolf, David J",84-369 Makaha Valley Rd,Waianae,Hawaii,96792-2133,808-330-0349,808-695-5740,DAVE WOLF,,,2004,,,,Veteran
https://www.hawaiibids.us/hawaii-contractors/contractor-5774118-NOTKIN-HAWAII-INC.htm,NOTKIN HAWAII INC.,738 Kaheka St Ste 301,Honolulu,Hawaii,96814-3726,808-941-6600 x101,808-946-6696,KEITH CHAN,,Corporation,1981,,"HUBZone Certification, ",,"Asian Pacific American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5510699-AFFINITY-REAL-ESTAT.htm,AFFINITY REAL ESTATE GROUP LLC,419 South St Ste 163,Honolulu,Hawaii,96813-5069,808-748-8800,808-748-8801,Karen Y Uehara,,LLC,2009,,,,"Asian Pacific American,  Other Minority Owned,  Women-Owned Small Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5549206-WARRIOR-EXPRESS-TOWIN.htm,WARRIOR EXPRESS TOWING LLC,1474 Ala Mahamoe St,Honolulu,Hawaii,96819-1763,808-780-1489,808-833-4025,FRED J. SHAW,,LLC,2010,,,,"Service-Disabled Veteran,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5448131-PACIFIC-CONCRETE-CUTTIN.htm,"PACIFIC CONCRETE CUTTING & CORING, INC.",1536 Haleukana St Ste 108,Lihue,Hawaii,96766-9061,808-245-7171,808-245-9393,ELI BRAINERD,,Corporation,2001,Construction (100 %),,,
https://www.hawaiibids.us/hawaii-contractors/contractor-5918449-LKS-INSPECTION-SERVICE.htm,LKS INSPECTION SERVICES LLC,91-1002 Kelau St.,Kapolei,Hawaii,96707-1952,808-620-3023,808-674-0245,WALLACE ONUMA,President,LLC,2004,,,,"Asian Pacific American,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5453488-ATH-SPORTS-NUTRITION.htm,ATH SPORTS NUTRITION,2827 Kalawao St,Honolulu,Hawaii,96822-1577,808-728-1739,808-988-4299,Stuart Kam,,LLC,2012,,,,"Other Minority Owned,  Self-Certified Small Disadvantaged Business"
https://www.hawaiibids.us/hawaii-contractors/contractor-5628808-J-W-LOO-ASSOCIATES.htm,J W LOO & ASSOCIATES,2101 Nuuanu Ave Apt 1803,Honolulu,Hawaii,96817-1768,808-528-7176,808-523-8543,JEFFREY LOO,,Sole Proprietorship,1991,,,,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business"
https://www.hawaiibids.us/hawaii-contractors/contractor-5385580-ALOHA-CHEM-DRY.htm,ALOHA CHEM DRY,91-596 Puhilaka Pl,Ewa Beach,Hawaii,96706-4524,808-685-6528,808-683-1692,LINDA KIM,,Corporation,2002,,,,"Asian Pacific American,  Other Minority Owned,  Veteran,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5581640-EVENTHOST.htm,EVENTHOST,1750 Kalakaua Ave Ste 605,Honolulu,Hawaii,96826-3719,808-225-3541,808-945-9515,MARK NISHIMOTO,,Corporation,2005,,,,"Asian Pacific American,  Other Minority Owned,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5121458-OHANA-NUI-MANAGEMEN.htm,"OHANA NUI MANAGEMENT, INC.",98-023 Hekaha Street Suite #604,Aiea,Hawaii,96701-4903,808-487-5525 x742,808-487-5529,CATHLEEN S PETERS,,Subchapter S Corporation,2004,,"8(a), Small Disadvantaged Business, ",,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business,  Economically Disadvantaged Women-Owned Small Business,  Women-Owned Small Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5127362-QUALITY-TRANS-LOGISTIC.htm,QUALITY TRANS LOGISTICS (QTL) LLC,98-2009 Kaahumanu St Apt F,Aiea,Hawaii,96701-1896,808-349-9038,808-832-7409,CHARLES FINCH,,LLC,2007,,,,"Black American,  Other Minority Owned,  Service-Disabled Veteran,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5106950-SAKO-ELECTRIC-MOTOR-REWINDIN.htm,SAKO ELECTRIC MOTOR REWINDING CORP.,2023 Republican St,Honolulu,Hawaii,96819-2210,808-845-9751,808-841-6989,MARK HOVSEPIAN,,Corporation,2006,,,,Other Minority Owned
https://www.hawaiibids.us/hawaii-contractors/contractor-5282717-GBT-ENTERPRISES.htm,GBT ENTERPRISES,1060 Kinau St Apt A4,Honolulu,Hawaii,96814-1026,808-258-5607,877-708-1710,GLENN S TENGAN,,Corporation,2009,,,,"Asian Pacific American,  Other Minority Owned,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5260566-SUSTAINOMICS-USA.htm,SUSTAINOMICS USA,110 Pau Hana Rd,Makawao,Hawaii,96768-8110,808-573-9244,808-572-2203,CHANTAL L. D. LONERGAN,,Sole Proprietorship,2009,,,,"Self-Certified Small Disadvantaged Business,  Service-Disabled Veteran,  Veteran,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5199664-JEFFREY-DALE-BLACKWELL.htm,JEFFREY DALE BLACKWELL,5136 Iroquois Ave,Ewa Beach,Hawaii,96706-3252,808-941-9826,808-499-3558,JEFFREY D BLACKWELL,,Sole Proprietorship,1988,,,,"Black American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business,  Service-Disabled Veteran,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5241535-PK-CONNECTIONS-L-L-P.htm,PK CONNECTIONS L.L.P.,84-740 Kili Dr Ste 222,Waianae,Hawaii,96792-1558,808-497-3052,808-695-0420,PENNY DUMONT,,Partnership,2008,,,,Woman Owned
https://www.hawaiibids.us/hawaii-contractors/contractor-5239100-KAMANA-CONTRACTORS-LLC.htm,KAMANA CONTRACTORS LLC,64-5317 Puanuanu Pl,Kamuela,Hawaii,96743-8227,808-366-9891,,TERRY CAMPBELL,,LLC,2007,,,,"Asian Pacific American,  Other Minority Owned,  Service-Disabled Veteran,  Veteran,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5980478-DURANS-CONSTRUCTION-INC.htm,DURANS CONSTRUCTION INC.,84-976 Noholio Rd,Waianae,Hawaii,96792-2245,808-695-5020,808-695-5030,CHAD DURAN,,Corporation,2006,"Construction (90 %),  Service (10 %)",,,"Hispanic American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business"
https://www.hawaiibids.us/hawaii-contractors/contractor-5902965-KELLER-GAYLE-T.htm,"KELLER, GAYLE T.",75-5751 Kuakini Hwy Ste 209d,Kailua Kona,Hawaii,96740-1753,808-327-1808,808-327-2139,GAYLE T. KELLER,owner,Sole Proprietorship,1999,Service (100 %),,,Woman Owned
https://www.hawaiibids.us/hawaii-contractors/contractor-5619698-TENTS-HAWAII-INC.htm,"TENTS HAWAII, INC.",94-263 Pupuole St,Waipahu,Hawaii,96797-2219,808-677-8785 x12,808-677-1973,JO ANN konys,,,1978,,,,"Self-Certified Small Disadvantaged Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5888305-ANONUI-BUILDERS-INC.htm,"'ANONUI BUILDERS, INC.",91-590 Farrington Hwy 210,Kapolei,Hawaii,96707-1045,808-342-9235,,BERNI PAIK-APAU,"President, CEO",Subchapter S Corporation,1996,"Construction (90 %),  Service (10 %)","8(a), Small Disadvantaged Business, HUBZone Certification, ",,"Native American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5626395-K-D-W-INC.htm,"K. D. W., INC.",47120 Wailehua Rd,Kaneohe,Hawaii,96744-4933,808-247-1234,808-239-5447,RACINE HEE,,Corporation,1990,,,,Other Minority Owned
https://www.hawaiibids.us/hawaii-contractors/contractor-5889048-EDDIE-HORNER-CONSTRUCTIO.htm,"EDDIE HORNER CONSTRUCTION, INC",1812 Makuakane St,Honolulu,Hawaii,96817-1828,808-478-0001,808-442-7257,EDDIE HORNER,Owner,Corporation,1990,"Construction (95 %),  Service (5 %)","8(a), Small Disadvantaged Business, HUBZone Certification, ",,"Native American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5971977-HILL-MELISSA-W.htm,"HILL, MELISSA W",44-720 Alakai St,Kaneohe,Hawaii,96744-0000,808-391-7010,808-262-7033,MELISSA HILL,,LLC,2002,Service (100 %),,,"Women-Owned Small Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5972069-FORD-PAINTING-PROS-INC.htm,"FORD PAINTING PROS, INC",95-1112 Auina St,Mililani,Hawaii,96789-4847,808-223-3981,808-626-7199,LESLIE FORD,,Subchapter S Corporation,2003,Construction (100 %),,,"Asian Pacific American,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5841389-HAWAII-POWER-TOOLS-INC.htm,HAWAII POWER TOOLS INC,94-1038 Kapehu St.,Waipahu,Hawaii,96797-5400,808-688-2700,808-688-2700,REUBEN NEMOTO,,Subchapter S Corporation,1984,"Construction (10 %),  Manufacturing (60 %),  Research and Development (10 %),  Service (20 %)",,,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5829599-AMEL-TECHNOLOGIES-INC.htm,"AMEL TECHNOLOGIES, INC.",2800 Woodlawn Dr Ste 251,Honolulu,Hawaii,96822-1865,808-988-0200,808-988-0204,Melek Yalcintas,President,,2002,"Research and Development (50 %),  Service (50 %)","8(a), Small Disadvantaged Business, ",,"Self-Certified Small Disadvantaged Business,  Economically Disadvantaged Women-Owned Small Business,  Women-Owned Small Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5865517-INNOVATIVE-CONSTRUCTOR.htm,"INNOVATIVE CONSTRUCTORS HAWAII, LTD.","1414 Dillingham Blvd., Suite 203",Honolulu,Hawaii,96817-4894,808-381-6663,808-485-1159,PAUL WONG,President,Subchapter S Corporation,2002,Construction (100 %),"8(a), Small Disadvantaged Business, HUBZone Certification, ",,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business"
https://www.hawaiibids.us/hawaii-contractors/contractor-5376706-J-BUILDING-CONSULTANT.htm,J2 BUILDING CONSULTANTS INC,500 Ala Moana Blvd Ste 400,Honolulu,Hawaii,96813-4920,425-774-5600,425-774-5661,JENS JOHANSON,,Subchapter S Corporation,2009,"Research and Development (1 %),  Service (99 %)",,,
https://www.hawaiibids.us/hawaii-contractors/contractor-5766020-DAMAS-LORRETTA-L.htm,"DAMAS, LORRETTA L","87-133 Princess Kahanu Ave,f",Waianae,Hawaii,96792-3640,808-389-1858,,LORRETTA DAMAS,Owner,Sole Proprietorship,1999,Service (100 %),"HUBZone Certification, ",,"Native Hawaiian Organization Owned Firm,  Other Minority Owned,  Self-Certified Small Disadvantaged Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5928036-MJ-CONSTRUCTION-INC.htm,"MJ CONSTRUCTION, INC.",94-155 Leoole St C-5,Waipahu,Hawaii,96797-2238,808-265-1668,808-676-0650,Joon Ho Son,Owner,Subchapter S Corporation,1997,"Construction (90 %),  Service (10 %)","8(a), Small Disadvantaged Business, ",,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business"
https://www.hawaiibids.us/hawaii-contractors/contractor-5783935-ADAPTIVE-TECHNOLOGIE.htm,ADAPTIVE TECHNOLOGIES CORPORATION,94-1006 Pumaia Pl,Waipahu,Hawaii,96797-5701,808-676-8201,808-671-2098,MOE M. TUN,Owner,Corporation,2000,"Research and Development (80 %),  Service (20 %)","8(a), Small Disadvantaged Business, ",,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business"
https://www.hawaiibids.us/hawaii-contractors/contractor-5755509-MEGA-CONSTRUCTION-INC.htm,"MEGA CONSTRUCTION, INC",669 Ahua St Ste 2,Honolulu,Hawaii,96819-2002,808-839-0022 x115,808-839-7191,MARNIE K HURSTY,,,1984,Construction (100 %),"8(a), Small Disadvantaged Business, HUBZone Certification, ",,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business,  Economically Disadvantaged Women-Owned Small Business,  Women-Owned Small Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5701925-NAKAMURA-R-M-PLUMBIN.htm,"NAKAMURA, R M PLUMBING & MECHANICAL CONTRACTORS INC",220 Kalihi St Ste B,Honolulu,Hawaii,96819-3943,808-845-5427,808-841-2368,JILL SITUMEANG,,Corporation,1977,Construction (100 %),"Small Disadvantaged Business, ",,"Asian Pacific American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5777995-CUNNINGHAM-S-AIR-SYSTEM.htm,"CUNNINGHAM'S AIR SYSTEMS CLEANING SPECIALISTS, LLC",96-1272 Waihona St Unit 1,Pearl City,Hawaii,96782-1977,808-429-9420,808-456-6595,RICKEY CUNNINGHAM,,LLC,2002,Service (100 %),,,"Black American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business"
https://www.hawaiibids.us/hawaii-contractors/contractor-5392349-HAL-HAYS-CONSTRUCTIO.htm,"HAL HAYS CONSTRUCTION, INC.","3049 Ualena St, Ste 404",Honolulu,Hawaii,96819-1946,951-788-0703 x111,951-275-0752,DANIELLE POP,,Subchapter S Corporation,1990,"Construction (70 %),  Service (30 %)","8(a), Small Disadvantaged Business, HUBZone Certification, ",,"Native American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5526025-Arcadia-Architectur.htm,"Arcadia Architecture, Inc.",800 Bethel St Ste 302,Honolulu,Hawaii,96813-4340,808-533-3773,,Coral C King,Principal,Subchapter S Corporation,2007,Service (100 %),,,Self-Certified Small Disadvantaged Business
https://www.hawaiibids.us/hawaii-contractors/contractor-5518919-A-CONTRACTING-LLC.htm,A1 CONTRACTING LLC,339 N Vineyard Blvd Apt 106,Honolulu,Hawaii,96817-3650,808-783-4182,808-537-5945,EARL WALLACE,,LLC,2006,"Construction (90 %),  Service (10 %)",,,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business,  Service-Disabled Veteran,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5637269-SIH-LLC.htm,"SIH, LLC",91 238 Kauhi St,Kapolei,Hawaii,96707-1803,808-841-6605,,ROBERT EGBERT,Sales Manager,Corporation,1998,Service (100 %),,,"Self-Certified Small Disadvantaged Business,  Veteran"
https://www.hawaiibids.us/hawaii-contractors/contractor-5631918-nick-s-marketing.htm,nick's marketing,94-387 Punono St,Mililani,Hawaii,96789-2566,808-780-2222,808-685-1453,RAFAELITA O MORENO-WILLIAMS,,,1997,"Construction (20 %),  Manufacturing (45 %),  Service (35 %)",,,"Asian Pacific American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5474123-AIR-BALANCE-HAWAII-INC.htm,"AIR BALANCE HAWAII, INC.",3023 Kaimuki Ave,Honolulu,Hawaii,96816-1418,808-737-2710 x202,808-737-2717,Carey T Tomasa,,,1991,Service (100 %),,,"Asian Pacific American,  Other Minority Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5606288-HAWAII-SEAL-COATING-C.htm,"HAWAII SEAL COATING CO., INC",99-1191 Iwaena St Ste E,Aiea,Hawaii,96701-5629,808-485-8099,808-485-8099,WINONA PRETTE,"Vice President, Operations",Corporation,1976,Construction (100 %),"Small Disadvantaged Business, ",,"Hispanic American,  Other Minority Owned,  Self-Certified Small Disadvantaged Business,  Woman Owned"
https://www.hawaiibids.us/hawaii-contractors/contractor-5488819-SAGET-GOVERNMENT-SERVICES.htm,SAGET GOVERNMENT SERVICES,73-4175 Holu Street,Kailua Kona,Hawaii,96740-9434,808-325-5933,808-325-5485,Cory Saget,Owner,Sole Proprietorship,2000,Service (100 %),"HUBZone Certification, ",,Native American
https://www.hawaiibids.us/hawaii-contractors/contractor-5563027-RAYMOND-BOTELHO.htm,RAYMOND BOTELHO,95 1049 Palamoa St,Mililani,Hawaii,96789-5589,808-291-1088,808-626-9343,STATEWIDE BUILDING AND DEVELOPMENT CORPORATION,President/Owner,Subchapter S Corporation,1997,"Construction (80 %),  Service (20 %)","8(a), Small Disadvantaged Business, ",,Native American
https://www.hawaiibids.us/hawaii-contractors/contractor-5122963-THE-WORKSTATION-GROU.htm,THE WORKSTATION GROUP INCORPORATED THE,575 Cooke St Ste A,Honolulu,Hawaii,96813-5274,808-591-8649,808-623-9679,FRANK GODEK JR. Godek,Executive Vice President,,1991,Service (100 %),,,Self-Certified Small Disadvantaged Business
https://www.hawaiibids.us/hawaii-contractors/contractor-5716711-R-T-MARINE.htm,R & T MARINE,128 Opihikao Way,Honolulu,Hawaii,96825-1125,808-479-4894,808-394-2680,TERRY OKELLEY,PRESIDENT / MANAGER,Partnership,2001,Service (100 %),,,"Black American,  Other Minority Owned,  Veteran,  Woman Owned"
